Locus	wtA	wtB	wtC								
AT1G05440	12	49	29								
AT1G05450	0	0	0								
AT1G05460	154	208	239								
AT1G05470	30	62	49								
AT1G05490	74	76	67								
AT1G05500	764	2128	1266								
AT1G05510	162	306	255								
AT1G05520	419	733	323								
AT1G05530	0	4	5								
AT1G05540	5	5	0								
AT1G05550	0	0	0								
AT1G05560	159	291	329								
AT1G05562	11	15	15								
AT1G05570	150	418	240								
AT1G05575	0	0	0								
AT1G05577	16	15	13								
AT1G05580	0	0	0								
AT1G05590	704	758	772								
AT1G05600	35	110	81								
AT1G05610	2	9	3								
AT1G05615	0	0	0								
AT1G05620	84	334	256								
AT1G05630	53	249	112								
AT1G05640	0	2	2								
AT1G05650	4	2	7								
AT1G05660	1	10	10								
AT1G05670	21	97	41								
AT1G05675	3	7	10								
AT1G05680	133	259	284								
AT1G05690	12	35	17								
AT1G05700	5	18	12								
AT1G05710	175	445	166								
AT1G05720	1821	3893	2059								
AT1G05730	18	61	61								
AT1G05740	0	0	0								
AT1G05750	0	0	3								
AT1G05760	149	324	202								
AT1G05770	43	90	51								
AT1G05780	404	1131	718								
AT1G05785	222	288	116								
AT1G05790	151	576	228								
AT1G05800	0	0	0								
AT1G05805	568	1365	804								
AT1G05810	3976	3292	2610								
AT1G05820	38	101	40								
AT1G05830	173	587	301								
AT1G05835	1011	2012	842								
AT1G05840	266	538	264								
AT1G05850	30194	49460	27368								
AT1G05860	62	123	85								
AT1G05870	684	1539	859								
AT1G05880	0	1	1								
AT1G05890	1364	4482	2047								
AT1G05894	6	12	5								
AT1G05900	30	119	51								
AT1G05910	289	423	412								
AT1G05920	0	0	0								
AT1G05925	0	0	0								
AT1G05930	0	0	0								
AT1G05940	575	2112	970								
AT1G05950	41	161	64								
AT1G05960	989	2353	1754								
AT1G05970	183	564	325								
AT1G05980	0	0	0								
AT1G05990	0	4	8								
AT1G06000	68	106	104								
AT1G06002	360	366	259								
AT1G06010	266	553	321								
AT1G06020	6	2	0								
AT1G06030	0	0	1								
AT1G06040	1727	4017	1962								
AT1G06050	13	35	11								
AT1G06060	1052	1504	848								
AT1G06070	711	1807	1102								
AT1G06080	3309	6773	3134								
AT1G06090	169	671	239								
AT1G06100	0	0	0								
AT1G06110	955	3803	1473								
AT1G06120	28	74	54								
AT1G06130	1126	1358	835								
AT1G06135	3	0	0								
AT1G06137	0	0	0								
AT1G06140	0	0	4								
AT1G06148	1	1	0								
AT1G06149	0	0	0								
AT1G06150	27	80	50								
AT1G06160	12	20	22								
AT1G06170	2	3	3								
AT1G06180	42	124	58								
AT1G06190	1592	2613	1691								
AT1G06200	1231	3235	2555								
AT1G06210	577	907	569								
AT1G06220	535	2404	1521								
AT1G06225	0	0	0								
AT1G06230	1372	2554	2089								
AT1G06240	72	175	111								
AT1G06250	9	19	20								
AT1G06260	0	0	0								
AT1G06265	2	17	7								
AT1G06270	165	277	185								
AT1G06280	0	0	0								
AT1G06290	1308	1483	1466								
AT1G06310	0	1	0								
AT1G06320	0	8	3								
AT1G06330	0	0	0								
AT1G06340	23	16	7								
AT1G06350	1958	2329	1928								
AT1G06360	6121	6195	5261								
AT1G06370	32	153	64								
AT1G06380	85	222	166								
AT1G06390	1216	1574	1313								
AT1G06400	943	2138	1216								
AT1G06410	5246	7754	8266								
AT1G06420	30	144	78								
AT1G06430	217	763	299								
AT1G06440	5	38	16								
AT1G06450	45	29	59								
AT1G06460	80	207	128								
AT1G06470	241	611	357								
AT1G06475	129	211	119								
AT1G06480	0	0	0								
AT1G06490	22	15	13								
AT1G06500	137	332	218								
AT1G06510	49	87	64								
AT1G06515	1085	2023	1138								
AT1G06520	60	64	56								
AT1G06530	46	195	705								
AT1G06540	0	0	0								
AT1G06550	96	296	158								
AT1G06560	332	383	256								
AT1G06570	2436	6440	2729								
AT1G06580	35	88	38								
AT1G06590	116	319	187								
AT1G06610	0	0	0								
AT1G06620	267	407	243								
AT1G06630	304	739	265								
AT1G06640	1429	2821	1744								
AT1G06645	88	243	128								
AT1G06650	129	388	226								
AT1G06660	8	13	20								
AT1G06670	46	106	68								
AT1G06680	6440	15652	12071								
AT1G06690	84	391	205								
AT1G06700	3438	5586	2519								
AT1G06710	5	11	8								
AT1G06720	221	362	359								
AT1G06730	489	942	723								
AT1G06740	52	67	44								
AT1G06750	4	2	0								
AT1G06760	8220	16777	8482								
AT1G06770	86	162	113								
AT1G06780	138	405	207								
AT1G06790	127	365	167								
AT1G06800	200	334	104								
AT1G06810	0	3	0								
AT1G06820	24	54	24								
AT1G06830	31	66	61								
AT1G06840	405	605	282								
AT1G06850	302	386	316								
AT1G06860	0	0	0								
AT1G06870	354	740	421								
AT1G06880	0	0	0								
AT1G06890	1675	1326	1117								
AT1G06900	381	307	263								
AT1G06910	32	91	46								
AT1G06920	0	1	0								
AT1G06923	0	0	0								
AT1G06925	0	0	0								
AT1G06930	50	59	44								
AT1G06950	1342	3098	2944								
AT1G06960	458	1264	798								
AT1G06970	0	0	0								
AT1G06980	1005	1112	1413								
AT1G06990	0	0	0								
AT1G07000	446	429	330								
AT1G07010	101	269	161								
AT1G07020	150	805	381								
AT1G07025	0	0	0								
AT1G07030	103	197	198								
AT1G07040	1050	1935	1409								
AT1G07050	11	34	20								
AT1G07051	0	0	0								
AT1G07060	0	0	0								
AT1G07070	2097	2299	1522								
AT1G07080	2063	3764	2271								
AT1G07090	473	565	362								
AT1G07100	0	0	0								
AT1G07110	281	787	504								
AT1G07119	0	0	0								
AT1G07120	1	5	2								
AT1G07128	72	127	89								
AT1G07130	41	45	58								
AT1G07135	652	1208	776								
AT1G07140	7901	6977	7185								
AT1G07150	75	139	134								
AT1G07160	6	8	2								
AT1G07170	1037	2235	1504								
AT1G07175	0	0	0								
AT1G07180	0	6	2								
AT1G07190	0	0	0								
AT1G07200	171	302	213								
AT1G07210	1062	2429	1206								
AT1G07220	97	189	150								
AT1G07230	425	1152	957								
AT1G07240	149	205	168								
AT1G07250	95	129	174								
AT1G07260	139	155	162								
AT1G07270	0	0	2								
AT1G07280	55	98	55								
AT1G07290	0	0	0								
AT1G07300	40	76	37								
